,execution_time_sec,shd_custom_cpdag_vs_dag,f1_skeleton,precision_skeleton,recall_skeleton,tp_skeleton,fp_skeleton,fn_skeleton,f1_strict_directed,precision_strict_directed,recall_strict_directed,tp_strict_directed,fp_strict_directed,fn_strict_directed
asia_n2000_ges,0.4716,8,0.9333,1,0.875,7,0,1,0,0,0,0,5,8
asia_n2000_pc,0.0175,8,0.7692,1,0.625,5,0,3,0,0,0,0,2,8
asia_n2000_dag-gnn,436.4986,6,0.6667,1,0.5,4,0,4,0.3333,0.5,0.25,2,2,6
asia_n2000_dag-gnn-gemini,374.2705,10,0.5,0.5,0.5,4,4,4,0.25,0.25,0.25,2,6,6
asia_n2000_dag-gnn-claude,436.5397,7,0.2222,1,0.125,1,0,7,0.2222,1,0.125,1,0,7
asia_n5000_ges,0.4724,8,0.9333,1,0.875,7,0,1,0,0,0,0,5,8
asia_n5000_pc,0.0152,8,0.7692,1,0.625,5,0,3,0,0,0,0,2,8
asia_n5000_dag-gnn,307.2571,3,0.8,0.8571,0.75,6,1,2,0.8,0.8571,0.75,6,1,2
asia_n5000_dag-gnn-gemini,1984.7431,4,0.9412,0.8889,1,8,1,0,0.5882,0.5556,0.625,5,4,3
asia_n5000_dag-gnn-claude,676.042,5,0.6154,0.8,0.5,4,1,4,0.6154,0.8,0.5,4,1,4
sachs_continuous_ges,0.7952,18,0.5714,0.7273,0.4706,8,3,9,0.16,0.25,0.1176,2,6,15
sachs_continuous_pc,0.0215,19,0.625,0.6667,0.5882,10,5,7,0.2222,0.3,0.1765,3,7,14
sachs_continuous_dag-gnn,159.1335,17,0,0,0,0,0,17,0,0,0,0,0,17
sachs_continuous_dag-gnn-gemini,122.7862,17,0,0,0,0,0,17,0,0,0,0,0,17
sachs_continuous_dag-gnn-claude,109.4119,17,0,0,0,0,0,17,0,0,0,0,0,17
